row_id,Drug_ID,Y_true,mean_abs_residual,sd_abs_residual,n_primary_runs,min_abs_residual,max_abs_residual
caco2_wang:test:25,Sumatriptan,-5.6828976000000004,0.92526868230590864,0.089239640173696358,5,0.81045344716796908,1.0248284662414555
caco2_wang:test:123,creatinine,-5.9354090999999976,0.83930857891235111,0.11552327799461877,5,0.71603968853149158,1.005483181420896
caco2_wang:test:20,benzylpenicillin,-6.0250000999999997,0.80869904027709938,0.078332309223120331,5,0.68188667760620092,0.89349937902221654
caco2_wang:test:142,DXG (9),-6.1599997999999996,0.80812077495117252,0.047020429043299311,5,0.75899367305297893,0.87947468730468881
caco2_wang:test:174,732-Amitriptyline,-3.9006647999999999,0.78716040294189449,0.052788609956692358,5,0.71824360530395515,0.85049534480590816
caco2_wang:test:3,amfenac sodium,-4.5199999999999996,0.72978227615356484,0.19245704434670793,5,0.47557447433471722,0.96570537567138715
caco2_wang:test:98,Tamarixetin (17),-5.0013065000000001,0.71341680093383808,0.11603780017399805,5,0.5283413271484374,0.81277373834228495
caco2_wang:test:113,carboxamido 28,-4.0599998999999984,0.70663389669189602,0.063529434721674882,5,0.6461224983764664,0.80749563680420067
caco2_wang:test:97,Kaempferol (16),-4.9899997999999997,0.69562603923339872,0.10183315438602936,5,0.57352730723876977,0.82643744441528355
caco2_wang:test:30,Ac-Trp-Ala-Gly-Gly-Lys-Ala-NH2,-7.309999900000002,0.69185424341430768,0.084489822316783855,5,0.58816428674926857,0.78356833948364357
caco2_wang:test:29,Ac-Trp-Ala-Gly-Gly-Asp-Ala-NH2,-7.4981045999999987,0.69087155251464805,0.18781131707269011,5,0.44458344368896441,0.90923836617431597
caco2_wang:test:150,Oxacillin,-4.8797116000000003,0.66734230930175831,0.05062509420352674,5,0.59273531848754935,0.72673800403442435
caco2_wang:test:126,Salvianolic acid A (SAA),-7.2277411999999988,0.65358195927734319,0.27876082824471593,5,0.33654637959594691,1.0009359898864745
