split_seed,row_id,split_role,Y
1,caco2_wang:train_val:341,train,-5.3386210999999992
1,caco2_wang:train_val:539,train,-6.2600002000000003
1,caco2_wang:train_val:93,train,-5.387216099999999
1,caco2_wang:train_val:652,train,-5.3899999000000003
1,caco2_wang:train_val:653,train,-5.3200002
1,caco2_wang:train_val:332,train,-4.5
1,caco2_wang:train_val:333,train,-4.8153085999999998
1,caco2_wang:train_val:334,train,-5.2123350999999998
1,caco2_wang:train_val:335,train,-4.8200002
1,caco2_wang:train_val:467,train,-5.5
1,caco2_wang:train_val:591,train,-4.8399267000000004
1,caco2_wang:train_val:609,train,-4.3099999000000002
1,caco2_wang:train_val:680,train,-4.6799998
1,caco2_wang:train_val:679,train,-4.5100002000000003
1,caco2_wang:train_val:105,train,-5.2295737000000004
1,caco2_wang:train_val:106,train,-6.4201082999999999
1,caco2_wang:train_val:638,train,-5.5700002
1,caco2_wang:train_val:174,train,-4.6197885999999997
1,caco2_wang:train_val:579,train,-4.1999997999999996
1,caco2_wang:train_val:700,train,-5.8000002000000004
1,caco2_wang:train_val:701,train,-5.8499999000000003
1,caco2_wang:train_val:702,train,-5.54
1,caco2_wang:train_val:395,train,-4.5900002000000004
1,caco2_wang:train_val:396,train,-4.1799998
1,caco2_wang:train_val:397,train,-4.8499999000000003
1,caco2_wang:train_val:398,train,-3.9500000000000002
1,caco2_wang:train_val:161,train,-4.9099997999999996
1,caco2_wang:train_val:162,train,-5.29
1,caco2_wang:train_val:163,train,-5
1,caco2_wang:train_val:178,train,-5.46
1,caco2_wang:train_val:643,train,-4.6677732000000001
1,caco2_wang:train_val:603,train,-4.4800000000000004
1,caco2_wang:train_val:157,train,-5.6391362999999997
1,caco2_wang:train_val:276,train,-4.9699998000000001
1,caco2_wang:train_val:423,train,-6.6500000999999989
1,caco2_wang:train_val:519,train,-5.1011863000000002
1,caco2_wang:train_val:669,train,-4.1900001000000016
1,caco2_wang:train_val:169,train,-4.5700002
1,caco2_wang:train_val:439,train,-5.1580719999999998
1,caco2_wang:train_val:440,train,-5.1003633000000015
1,caco2_wang:train_val:441,train,-5.2516832000000004
1,caco2_wang:train_val:442,train,-5.2606096000000004
1,caco2_wang:train_val:443,train,-5.2295737000000004
1,caco2_wang:train_val:153,train,-4.6100000999999997
1,caco2_wang:train_val:595,train,-6.3982739000000004
1,caco2_wang:train_val:596,train,-6.54
1,caco2_wang:train_val:597,train,-6.1199999000000025
1,caco2_wang:train_val:598,train,-5.9796510000000005
1,caco2_wang:train_val:362,train,-6.9204097000000004
1,caco2_wang:train_val:432,train,-5.9488472999999997
1,caco2_wang:train_val:433,train,-5.6587887000000014
1,caco2_wang:train_val:434,train,-6.0700002
1,caco2_wang:train_val:431,train,-5.8800000999999975
1,caco2_wang:train_val:136,train,-5.5693182999999999
1,caco2_wang:train_val:286,train,-5.7088717999999998
1,caco2_wang:train_val:287,train,-5.378171
1,caco2_wang:train_val:300,train,-4.79
1,caco2_wang:train_val:301,train,-4.6999997999999996
1,caco2_wang:train_val:302,train,-4.5380535000000002
1,caco2_wang:train_val:303,train,-4.7199998000000001
1,caco2_wang:train_val:304,train,-4.8600000999999997
1,caco2_wang:train_val:305,train,-4.6900000999999998
1,caco2_wang:train_val:306,train,-4.7600002000000003
1,caco2_wang:train_val:307,train,-4.5799999000000016
1,caco2_wang:train_val:308,train,-4.79
1,caco2_wang:train_val:309,train,-4.9000000999999997
1,caco2_wang:train_val:672,train,-5.1580719999999998
1,caco2_wang:train_val:400,train,-4.5199999999999996
1,caco2_wang:train_val:399,train,-4.1300812000000002
